method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 4 10 binary0.2 1 0 0 0.460470958992821 0.0442908646431458 19.8268787317597 0.88505639632796 0.9727 0.00162956159748565 0.1947 0.00395969582165095
CLR 1 20 binary0.2 1 0 0 2.28719288078706 0.0666974379663844 49.7122850384889 1.34285308766087 0.9738 0.00159729646590732 0.1906 0.00392774286327402
CLR 4 20 binary0.2 1 0 0 0.0322487891182342 0.0117629379780182 1.38456871643677 0.201660154697882 0.944 0.00229921725811199 0.3862 0.00486877356220229
CLR 1 30 binary0.2 1 0 0 0.842349482440225 0.0403347885600703 16.976877437255 0.809330913541083 0.9678 0.0017653090381007 0.3559 0.00478785118816364
CLR 4 30 binary0.2 1 0 0 0.0214062026288156 0.00599926614817592 0.360334177483166 0.0629349897437867 0.9483 0.00221420662992414 0.541 0.00498316164698678
CLR 1 40 binary0.2 1 0 0 0.360233442394034 0.0253166748498096 6.5384674535032 0.498372926349589 0.9516 0.00214609971809327 0.449 0.00497392199375905
CLR 4 40 binary0.2 1 0 0 0.00475188963139625 0.00438459042046868 0.192249687374571 0.0029658370239883 0.9483 0.00221420662992414 0.6525 0.00476176175380499
CLR 1 50 binary0.2 1 0 0 0.155321460685762 0.0147214138856614 2.19110830405218 0.275139546086031 0.9457 0.00226608715631151 0.5371 0.00498621690262267
CLR 4 50 binary0.2 1 0 0 0.00246094954853827 0.00392423590111174 0.153986930721016 0.00236511266685956 0.9477 0.00222631332026739 0.7462 0.00435184512592073
CLR 1 10 continuous 1.5 0 0.1433 5.47607466414433 0.325559790342779 937.890684663382 90.6332591943706 0.977267637178052 0.00161032918725846 0.746808510638298 0.00469801931045453
CLR 4 10 continuous 1.5 0 0.0083 0.600148886124283 0.073020062953865 53.2315925375022 17.0674923194533 0.944310656231186 0.00230278471874087 0.968994581577363 0.00174056127139643
CLR 1 20 continuous 1.5 0 0.0263 1.313989855753 0.1323057858504 172.153506299995 35.8067790935312 0.955939086294416 0.00207983687643481 0.975228426395939 0.0015751335748115
CLR 4 20 continuous 1.5 0 1e-04 0.13961183512059 0.00570148837490636 0.344496147458284 0.020302009382392 0.942394239423942 0.00233008081836514 0.999899989999 0.00010000499987492
CLR 1 30 continuous 1.5 0 0.0057 0.491613217092379 0.0607104813699681 36.8855348091583 15.5771330455498 0.94197815412366 0.00234453902681515 0.995290109229382 0.000686628051434336
CLR 4 30 continuous 1.5 0 0 0.0808301328971455 0.00395504268226734 0.162941494207116 0.00395205200472439 0.9462 0.00225622605250449 1 0
CLR 1 40 continuous 1.5 0 0.0012 0.228425077589411 0.00988620011879924 1.02827696357493 0.2406075828958 0.941776710684274 0.00234305819298908 0.999199679871949 0.000282955894832549
CLR 4 40 continuous 1.5 0 0 0.0565355847246313 0.00330174548616515 0.11220060337102 0.00252780096273444 0.9447 0.00228564892317259 1 0
CLR 1 50 continuous 1.5 0 9e-04 0.156944856535073 0.00591009720522692 0.373574885255373 0.0161907953719193 0.944550095085577 0.00228959370005262 1 0
CLR 4 50 continuous 1.5 0 0 0.0438569644645598 0.00282948503426203 0.0819752829376147 0.00161756884697829 0.9508 0.00216285367050108 1 0
CLR 1 10 binary0.05 1.5 0 0.0182 11.0473888321543 0.131438508781395 291.644092984469 1.69829018898031 0.9975 0.000503981903660992 2e-04 0.000142711854647453
CLR 4 10 binary0.05 1.5 0 0 1.74660867656462 0.122937366056496 154.171488002165 1.86247253690302 0.9987 0.00036032069049667 0.0789 0.00269582621843471
CLR 1 20 binary0.05 1.5 0 0.0031 8.82027821967493 0.107753971203471 193.534941587731 1.82052114598445 0.9863 0.00116423057931392 0.0193 0.0013779102924354
CLR 4 20 binary0.05 1.5 0 0 0.793734221181342 0.0647625588722335 42.5677101416363 1.18617111186366 0.9826 0.001307564147566 0.3294 0.0046999536167924
